symbol,source_name,lag,coefficient,r2,adj_r2,p_value,n_obs,significant
UAL,United,3,-0.7700828262173365,0.005536013818518204,-0.015181985893595984,0.6075846762236129,50,False
UAL,United,4,0.1665878378840931,0.0002572906443808476,-0.020570682467194512,0.9119651096405206,50,False
UAL,United,5,-1.1449891249250654,0.012094141930238056,-0.008487230112881772,0.4470925869068717,50,False
UAL,United,6,-2.1792202476735234,0.05632468360242515,0.036664781177475736,0.09701051274008701,50,False
UAL,United,7,1.1363483308594717,0.0153236789887371,-0.005190411032330644,0.3917317442197237,50,False
ULCC,Frontier,0,0.5694928978244795,0.0008982477686493295,-0.02130401339204724,0.8414951558307209,47,False
ULCC,Frontier,1,-3.443025769015102,0.031147547864161074,0.009617493372253483,0.23534849987728568,47,False
ULCC,Frontier,2,-0.870950227186232,0.0018923248006906812,-0.0202878457592941,0.7715609066409512,47,False
ULCC,Frontier,3,0.5737518658188444,0.0007855975003211446,-0.021419166999671946,0.8516479281482447,47,False
ULCC,Frontier,4,-1.7611789300804341,0.0070779668642126925,-0.014986967205471213,0.5739538952124565,47,False
ULCC,Frontier,5,3.263993117537858,0.023551877524356835,0.0018530303582312557,0.3030582552429841,47,False
ULCC,Frontier,6,4.378493977986409,0.043408979880395826,0.02215140165551588,0.15990893129937708,47,False
ULCC,Frontier,7,0.05708343202124855,7.091564794170502e-06,-0.022214973067099297,0.9858263163371512,47,False
UPS,United Parcel Service,0,-0.6481016906679611,0.0026440703255876663,-0.01813417820929586,0.7228620517645681,50,False
UPS,United Parcel Service,1,-0.43222953527376684,0.0011799998251216248,-0.019628750178521503,0.8127922759125994,50,False
UPS,United Parcel Service,2,2.0321732465563835,0.02601721728190498,0.005725909308611277,0.26311806742586724,50,False
UPS,United Parcel Service,3,0.1910078090352289,0.00023242167784598422,-0.020596069537198725,0.9163118750123321,50,False
UPS,United Parcel Service,4,0.07172025728940445,3.276961489284691e-05,-0.02079988101813024,0.9685279188377492,50,False
UPS,United Parcel Service,5,0.2319009901995009,0.0003415598012039833,-0.020484657702937392,0.8986331176923892,50,False
UPS,United Parcel Service,6,-0.3287047465405569,0.0006863165928260306,-0.020132718478156786,0.8566887361493435,50,False
UPS,United Parcel Service,7,0.15525796126003144,0.00015417421891184002,-0.02067594715152743,0.9317988569391878,50,False
