name,ticker,cusip,shares,value_usd,pct_portfolio,country,report_date,filing_date,accession,quarter,form_type
Airports of Thailand PCL,AOT,N/A,4378694.0,4074456.68,0.5003251235,TH,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Air France-KLM,AF,N/A,395846.0,4315030.55,0.5298665227,FR,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Bombardier Inc,BBD/B,097751861,217908.0,18984839.45,2.3312536831,CA,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Air Canada,AC,008911877,1773663.0,27443421.63,3.3699298812,CA,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Copa Holdings SA,CPA,N/A,40269.0,4428381.93,0.543785567,PA,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
General Dynamics Corp,GD,369550108,59749.0,17426393.34,2.1398834457,US,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,13279.0,4234274.73,0.5199500678,MX,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Grupo Aeroportuario del Pacifi,GAPB,P4959P100,170181.0,3895811.26,0.478388262,MX,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
International Consolidated Air,IAG,N/A,1772544.0,8301652.84,1.0194059745,GB,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Aeroports de Paris SA,ADP,N/A,34087.0,4272268.38,0.5246155187,FR,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Aena SME SA,AENA,N/A,305839.0,8163584.44,1.0024517902,ES,2025-06-30,2025-08-26,0001145549-25-054035,2025_Q2,NPORT-P
Alaska Air Group Inc,ALK,011659109,427560.0,21044503.2,2.8591599949,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Allegiant Travel Co,ALGT,01748X102,412400.0,21300460.0,2.89393494,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
American Airlines Group Inc,AAL,02376R102,7181246.0,75762145.3,10.29323871,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Boeing Co/The,BA,097023105,99004.0,16885132.2,2.2940572194,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Booking Holdings Inc,BKNG,09857L108,3555.0,16377565.05,2.2250978491,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Delta Air Lines Inc,DAL,247361702,1800245.0,78490682.0,10.6639446803,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Embraer SA,ERJ,29082A107,72139.0,3332821.8,0.4528056885,BR,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Expedia Group Inc,EXPE,30212P303,93639.0,15740715.9,2.1385738958,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
First American Government Obli,FGXXX,31846V336,1987860.4,1987860.4,0.270075795,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Frontier Group Holdings Inc,ULCC,35909R108,3898614.0,16919984.76,2.2987923773,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
General Dynamics Corp,GD,369550108,57780.0,15749672.4,2.1397907487,US,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
Grupo Aeroportuario del Surest,ASR,40051E202,14233.0,3897280.06,0.5294944305,MX,2025-03-31,2025-05-30,0001145549-25-038248,2025_Q1,NPORT-P
